"tub","pos","trt","climate","soil","sterile","tea","genotype"
24,4,7,"it","sw",1,"sw","It32"
24,5,7,"it","sw",1,"sw","It41"
24,6,7,"it","sw",1,"sw","Sw43"
24,7,7,"it","sw",1,"sw","Sw7"
24,8,7,"it","sw",1,"sw","Sw47"
39,1,7,"it","sw",1,"sw","Sw47"
39,2,7,"it","sw",1,"sw","Sw11"
39,3,7,"it","sw",1,"sw","Sw7"
39,4,7,"it","sw",1,"sw","Sw43"
39,5,7,"it","sw",1,"sw","It32"
39,6,7,"it","sw",1,"sw","It15"
39,7,7,"it","sw",1,"sw","It24"
39,8,7,"it","sw",1,"sw","It41"
7,1,7,"it","sw",1,"sw","Sw7"
7,2,7,"it","sw",1,"sw","It41"
7,3,7,"it","sw",1,"sw","Sw43"
7,4,7,"it","sw",1,"sw","It32"
7,5,7,"it","sw",1,"sw","It24"
7,6,7,"it","sw",1,"sw","It15"
7,7,7,"it","sw",1,"sw","Sw11"
7,8,7,"it","sw",1,"sw","Sw47"
50,1,8,"it","sw",1,"it","Sw11"
50,2,8,"it","sw",1,"it","Sw7"
50,3,8,"it","sw",1,"it","It15"
50,4,8,"it","sw",1,"it","It41"
50,5,8,"it","sw",1,"it","It32"
50,6,8,"it","sw",1,"it","It24"
50,7,8,"it","sw",1,"it","Sw47"
50,8,8,"it","sw",1,"it","Sw43"
34,1,8,"it","sw",1,"it","Sw43"
34,2,8,"it","sw",1,"it","It32"
34,3,8,"it","sw",1,"it","It15"
34,4,8,"it","sw",1,"it","It41"
34,5,8,"it","sw",1,"it","Sw47"
34,6,8,"it","sw",1,"it","Sw7"
34,7,8,"it","sw",1,"it","Sw11"
34,8,8,"it","sw",1,"it","It24"
4,1,8,"it","sw",1,"it","It15"
4,2,8,"it","sw",1,"it","Sw11"
4,3,8,"it","sw",1,"it","It32"
4,4,8,"it","sw",1,"it","Sw47"
4,5,8,"it","sw",1,"it","It24"
4,6,8,"it","sw",1,"it","Sw7"
4,7,8,"it","sw",1,"it","Sw43"
4,8,8,"it","sw",1,"it","It41"
19,1,8,"it","sw",1,"it","It24"
19,2,8,"it","sw",1,"it","Sw43"
19,3,8,"it","sw",1,"it","It15"
19,4,8,"it","sw",1,"it","Sw7"
19,5,8,"it","sw",1,"it","Sw47"
19,6,8,"it","sw",1,"it","Sw11"
19,7,8,"it","sw",1,"it","It41"
19,8,8,"it","sw",1,"it","It32"
87,1,8,"it","sw",1,"it","Sw47"
87,2,8,"it","sw",1,"it","It24"
87,3,8,"it","sw",1,"it","It41"
87,4,8,"it","sw",1,"it","Sw11"
87,5,8,"it","sw",1,"it","Sw43"
87,6,8,"it","sw",1,"it","It15"
87,7,8,"it","sw",1,"it","Sw7"
87,8,8,"it","sw",1,"it","It32"
83,1,8,"it","sw",1,"it","Sw11"
83,2,8,"it","sw",1,"it","It41"
83,3,8,"it","sw",1,"it","It24"
83,4,8,"it","sw",1,"it","It15"
83,5,8,"it","sw",1,"it","It32"
83,6,8,"it","sw",1,"it","Sw7"
83,7,8,"it","sw",1,"it","Sw43"
83,8,8,"it","sw",1,"it","Sw47"
