SampleID	Chamber	Soil	Wash	Genotype	Parentalline	Planted	Treatment	Fraction	Incubationtime	Replicate	Library	Microbe	Condition	Condition_microbe	Microbe_planted	Changed_chamber	Changed_soil	Changed_both	Changed_genotype
I.9.S	Italian	Italian	Italian	Italian	It41	Planted	Third	Soil	6months	2	5	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
I.91.S	Swedish	Italian	Swedish	Italian	Deadplant	Planted	Fourth	Soil	8months	1	8	Swedish	Changed_soil	Changed_soil_Swedish	Swedish_Italian	no	yes	no	yes
I.99.S	Swedish	Swedish	None	Italian	Deadplant	Planted	First	Soil	8months	1	8	Swedish	Control	Control_Swedish	Swedish_Italian	no	no	no	no
Ita.Treat.1	None	Italian	None	None	None	None	First	Soil	0weeks	1	1	Italian	Test	Test_Italian	Italian_None	no	no	no	no
Ita.Treat.3	None	Italian	Swedish	None	None	None	Third	Soil	0weeks	1	1	Swedish	Test_changed_soil	Test_changed_soil_Swedish	Swedish_None	no	no	no	yes
Ita.Treat.4	None	Italian	Italian	None	None	None	Fourth	Soil	0weeks	1	1	Italian	Test_repopulated	Test_repopulated_Italian	Italian_None	no	no	no	yes
ReciprocalRevision1	Swedish	Italian	Italian	Swedish	Sw7	Planted	14	Soil	8months		9	Italian	Repopulated_changed_climate	Repopulated_changed_climate_Italian	Italian_Swedish	no	no	no	yes
ReciprocalRevision10	Swedish	Italian	Italian	Swedish	Sw43	Planted	14	Soil	8months		9	Italian	Repopulated_changed_climate	Repopulated_changed_climate_Italian	Italian_Swedish	no	no	no	yes
ReciprocalRevision100	Swedish	Italian	none	Italian	It15	Planted	12	Soil	8months		9	Italian	Changed_climate	Changed_climate_Italian	Italian_Italian	yes	no	no	no
ReciprocalRevision102	Swedish	Italian	none	Italian	It15	Planted	12	Soil	8months		9	Italian	Changed_climate	Changed_climate_Italian	Italian_Italian	yes	no	no	no
ReciprocalRevision103	Italian	Italian	Italian	Italian	It41	Planted	3	Soil	6months		9	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
ReciprocalRevision104	Italian	Italian	Italian	Swedish	Sw11	Planted	3	Soil	6months		9	Italian	Repopulated	Repopulated_Italian	Italian_Swedish	no	no	no	yes
ReciprocalRevision105	Italian	Italian	Italian	Italian	It24	Planted	3	Soil	6months		9	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
ReciprocalRevision106	Italian	Italian	Italian	Italian	It41	Planted	3	Soil	6months		9	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
ReciprocalRevision107	Italian	Italian	Italian	Swedish	Sw7	Planted	3	Soil	6months		9	Italian	Repopulated	Repopulated_Italian	Italian_Swedish	no	no	no	yes
ReciprocalRevision108	Italian	Italian	Italian	Swedish	Sw43	Planted	3	Soil	6months		9	Italian	Repopulated	Repopulated_Italian	Italian_Swedish	no	no	no	yes
ReciprocalRevision109	Italian	Italian	Italian	Italian	It41	Planted	3	Soil	6months		9	Italian	Repopulated	Repopulated_Italian	Italian_Italian	no	no	no	no
ReciprocalRevision11	Italian	Italian	Swedish	Swedish	Sw7	Planted	4	Soil	6months		9	Swedish	Changed_soil_climate	Changed_soil_climate_Swedish	Swedish_Unplanted	yes	yes	yes	yes
ReciprocalRevision110	Italian	Italian	Italian	Swedish	Sw47	Planted	3	Soil	6months		9	Italian	Repopulated	Repopulated_Italian	Italian_Swedish	no	no	no	yes
ReciprocalRevision111	Italian	Swedish	none	Italian	It24	Planted	5	Soil	6months		9	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
ReciprocalRevision112	Italian	Swedish	none	Italian	It32	Planted	5	Soil	6months		9	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
ReciprocalRevision113	Swedish	Italian	none	Swedish	Sw47	Planted	12	Soil	8months		9	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	yes	no	no	no
ReciprocalRevision114	Swedish	Italian	none	Swedish	Sw7	Planted	12	Soil	8months		9	Italian	Changed_climate	Changed_climate_Italian	Italian_Swedish	yes	no	no	no
ReciprocalRevision115	Italian	Swedish	none	Italian	It41	Planted	5	Soil	6months		9	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Italian	yes	no	no	no
ReciprocalRevision116	Italian	Italian	none	Swedish	Sw43	Planted	1	Soil	6months		9	Italian	Control	Control_Italian	Italian_Swedish	no	no	no	no
ReciprocalRevision117	Italian	Italian	none	Italian	It32	Planted	1	Soil	6months		9	Italian	Control	Control_Italian	Italian_Italian	no	no	no	no
ReciprocalRevision118	Italian	Swedish	none	Swedish	Sw7	Planted	5	Soil	6months		9	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	yes	no	no	no
ReciprocalRevision119	Italian	Swedish	none	Swedish	Sw7	Planted	5	Soil	6months		9	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	yes	no	no	no
ReciprocalRevision12	Italian	Swedish	Swedish	Swedish	Sw43	Planted	8	Soil	6months		9	Swedish	Repopulated_changed_climate	Repopulated_changed_climate_Swedish	Swedish_Unplanted	no	no	no	yes
ReciprocalRevision120	Italian	Swedish	none	Swedish	Sw47	Planted	5	Soil	6months		9	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	yes	no	no	no
ReciprocalRevision121	Italian	Swedish	none	Swedish	Sw7	Planted	5	Soil	6months		9	Swedish	Changed_climate	Changed_climate_Swedish	Swedish_Swedish	yes	no	no	no
ReciprocalRevision122	Swedish	Swedish	Swedish	Italian	It32	Planted	19	Soil	8months		9	Swedish	Repopulated	Repopulated_Swedish	Swedish_Italian	no	no	no	yes
ReciprocalRevision123	Swedish	Swedish	Swedish	Italian	It	Planted	Third	Soil	8months		9	Swedish	Repopulated	Repopulated_Swedish	Swedish_Italian	no	no	no	yes
ReciprocalRevision124	Swedish	Swedish	none	Swedish	It	Planted	First	Soil	8months		9	Swedish	Control	Control_Swedish	Swedish_Swedish	no	no	no	no
ReciprocalRevision125	Swedish	Swedish	Swedish	Swedish	Sw11	Planted	19	Soil	8months		9	Swedish	Repopulated	Repopulated_Swedish	Swedish_Swedish	no	no	no	no
ReciprocalRevision126	Swedish	Swedish	Swedish	Swedish	Sw7	Planted	19	Soil	8months		9	Swedish	Repopulated	Repopulated_Swedish	Swedish_Swedish	no	no	no	no
ReciprocalRevision127	Swedish	Swedish	none	Italian	It15	Planted	16	Soil	8months		9	Swedish	Control	Control_Swedish	Swedish_Italian	no	no	no	no
