order	SampleID	Climate	Soil	Line	Line2	Fraction	Replicate	Soil_Fraction	ChangedConditions	Climate_soil	Line_Fraction	Seq_run	Changed	ChangedClimate	ChangedGenotype	ChangedBoth	observed
127	Sweden.DP.Soil.Sw.Sw.1.ITS1	Swedish	Swedish	Deadplant_Swedish	Swedish	Soil	1	Swedish_Soil	Control	Swedish_Swedish	Deadplant_Swedish_Soil	Run2	no	no	no	no	191
128	Sweden.DP.Soil.Sw.Sw.2.ITS1	Swedish	Swedish	Deadplant_Swedish	Swedish	Soil	2	Swedish_Soil	Control	Swedish_Swedish	Deadplant_Swedish_Soil	Run2	no	no	no	no	151
129	Sweden.DP.Soil.Sw.Sw.3.ITS1	Swedish	Swedish	Deadplant_Swedish	Swedish	Soil	3	Swedish_Soil	Control	Swedish_Swedish	Deadplant_Swedish_Soil	Run2	no	no	no	no	147
109	Sweden.Root.It.Sw.1.ITS1	Swedish	Italian	Swedish	Swedish	Root	1	Italian_Root	Climate_Genotype	Swedish_Italian	Swedish_Root	Run2	yes	no	no	yes	94
110	Sweden.Root.It.Sw.2.ITS1	Swedish	Italian	Swedish	Swedish	Root	2	Italian_Root	Climate_Genotype	Swedish_Italian	Swedish_Root	Run2	yes	no	no	yes	50
111	Sweden.Root.It.Sw.3.ITS1	Swedish	Italian	Swedish	Swedish	Root	3	Italian_Root	Climate_Genotype	Swedish_Italian	Swedish_Root	Run2	yes	no	no	yes	78
112	Sweden.Root.It.Sw.4.ITS1	Swedish	Italian	Swedish	Swedish	Root	4	Italian_Root	Climate_Genotype	Swedish_Italian	Swedish_Root	Run2	yes	no	no	yes	87
113	Sweden.Root.It.Sw.5.ITS1	Swedish	Italian	Swedish	Swedish	Root	5	Italian_Root	Climate_Genotype	Swedish_Italian	Swedish_Root	Run2	yes	no	no	yes	57
114	Sweden.Root.It.Sw.6.ITS1	Swedish	Italian	Swedish	Swedish	Root	6	Italian_Root	Climate_Genotype	Swedish_Italian	Swedish_Root	Run2	yes	no	no	yes	122
130	Sweden.Root.Sw.Sw.1.ITS1	Swedish	Swedish	Swedish	Swedish	Root	1	Swedish_Root	Control	Swedish_Swedish	Swedish_Root	Run2	no	no	no	no	105
131	Sweden.Root.Sw.Sw.2.ITS1	Swedish	Swedish	Swedish	Swedish	Root	2	Swedish_Root	Control	Swedish_Swedish	Swedish_Root	Run2	no	no	no	no	74
132	Sweden.Root.Sw.Sw.3.ITS1	Swedish	Swedish	Swedish	Swedish	Root	3	Swedish_Root	Control	Swedish_Swedish	Swedish_Root	Run2	no	no	no	no	61
133	Sweden.Root.Sw.Sw.4.ITS1	Swedish	Swedish	Swedish	Swedish	Root	4	Swedish_Root	Control	Swedish_Swedish	Swedish_Root	Run2	no	no	no	no	63
134	Sweden.Root.Sw.Sw.5.ITS1	Swedish	Swedish	Swedish	Swedish	Root	5	Swedish_Root	Control	Swedish_Swedish	Swedish_Root	Run2	no	no	no	no	83
135	Sweden.Root.Sw.Sw.6.ITS1	Swedish	Swedish	Swedish	Swedish	Root	6	Swedish_Root	Control	Swedish_Swedish	Swedish_Root	Run2	no	no	no	no	92
115	Sweden.Soil.It.Sw.1.ITS1	Swedish	Italian	Swedish	Swedish	Soil	1	Italian_Soil	Climate_Genotype	Swedish_Italian	Swedish_Soil	Run2	yes	no	no	yes	198
116	Sweden.Soil.It.Sw.2.ITS1	Swedish	Italian	Swedish	Swedish	Soil	2	Italian_Soil	Climate_Genotype	Swedish_Italian	Swedish_Soil	Run2	yes	no	no	yes	80
117	Sweden.Soil.It.Sw.3.ITS1	Swedish	Italian	Swedish	Swedish	Soil	3	Italian_Soil	Climate_Genotype	Swedish_Italian	Swedish_Soil	Run2	yes	no	no	yes	133
118	Sweden.Soil.It.Sw.4.ITS1	Swedish	Italian	Swedish	Swedish	Soil	4	Italian_Soil	Climate_Genotype	Swedish_Italian	Swedish_Soil	Run2	yes	no	no	yes	65
119	Sweden.Soil.It.Sw.5.ITS1	Swedish	Italian	Swedish	Swedish	Soil	5	Italian_Soil	Climate_Genotype	Swedish_Italian	Swedish_Soil	Run2	yes	no	no	yes	120
120	Sweden.Soil.It.Sw.6.ITS1	Swedish	Italian	Swedish	Swedish	Soil	6	Italian_Soil	Climate_Genotype	Swedish_Italian	Swedish_Soil	Run2	yes	no	no	yes	166
136	Sweden.Soil.Sw.Sw.1.ITS1	Swedish	Swedish	Swedish	Swedish	Soil	1	Swedish_Soil	Control	Swedish_Swedish	Swedish_Soil	Run2	no	no	no	no	193
137	Sweden.Soil.Sw.Sw.2.ITS1	Swedish	Swedish	Swedish	Swedish	Soil	2	Swedish_Soil	Control	Swedish_Swedish	Swedish_Soil	Run2	no	no	no	no	156
138	Sweden.Soil.Sw.Sw.3.ITS1	Swedish	Swedish	Swedish	Swedish	Soil	3	Swedish_Soil	Control	Swedish_Swedish	Swedish_Soil	Run2	no	no	no	no	148
139	Sweden.Soil.Sw.Sw.4.ITS1	Swedish	Swedish	Swedish	Swedish	Soil	4	Swedish_Soil	Control	Swedish_Swedish	Swedish_Soil	Run2	no	no	no	no	220
140	Sweden.Soil.Sw.Sw.5.ITS1	Swedish	Swedish	Swedish	Swedish	Soil	5	Swedish_Soil	Control	Swedish_Swedish	Swedish_Soil	Run2	no	no	no	no	165
141	Sweden.Soil.Sw.Sw.6.ITS1	Swedish	Swedish	Swedish	Swedish	Soil	6	Swedish_Soil	Control	Swedish_Swedish	Swedish_Soil	Run2	no	no	no	no	208
121	Sweden.Soil.Unplanted.It.1.ITS1	Swedish	Italian	Unplanted_Italian	Unplanted_Italian	Soil	1	Italian_Soil	Climate	Swedish_Italian	Unplanted_Italian_Soil	Run2	yes	yes	no	no	176
122	Sweden.Soil.Unplanted.It.2.ITS1	Swedish	Italian	Unplanted_Italian	Unplanted_Italian	Soil	2	Italian_Soil	Climate	Swedish_Italian	Unplanted_Italian_Soil	Run2	yes	yes	no	no	214
123	Sweden.Soil.Unplanted.It.3.ITS1	Swedish	Italian	Unplanted_Italian	Unplanted_Italian	Soil	3	Italian_Soil	Climate	Swedish_Italian	Unplanted_Italian_Soil	Run2	yes	yes	no	no	194
