order	SampleID	Observed_otus	Climate	Soil	Line	Line2	Fraction	Parentalline	Replicate	ChangedConditions	Soil_line	Climate_soil	Line_Fraction	Soil_Fraction	Seq_run	Changed	ChangedClimate	ChangedGenotype	ChangedBoth	observed
64	Italy.Root.Sw.Sw11.1.V5	126	Italian	Swedish	Swedish	Swedish	Root	Sw11	1	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	262
65	Italy.Root.Sw.Sw11.2.V5	0	Italian	Swedish	Swedish	Swedish	Root	Swedish	2	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run2	yes	yes	no	no	0
66	Italy.Root.Sw.Sw11.3.V5	170	Italian	Swedish	Swedish	Swedish	Root	Sw11	3	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	345
67	Italy.Root.Sw.Sw43.1.V5	122	Italian	Swedish	Swedish	Swedish	Root	Sw43	4	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	219
68	Italy.Root.Sw.Sw43.2.V5	115	Italian	Swedish	Swedish	Swedish	Root	Sw43	5	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	231
69	Italy.Root.Sw.Sw43.3.V5	123	Italian	Swedish	Swedish	Swedish	Root	Sw43	6	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	256
70	Italy.Root.Sw.Sw47.1.V5	135	Italian	Swedish	Swedish	Swedish	Root	Sw47	7	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	257
71	Italy.Root.Sw.Sw47.2.V5	145	Italian	Swedish	Swedish	Swedish	Root	Sw47	8	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	264
72	Italy.Root.Sw.Sw47.3.V5	131	Italian	Swedish	Swedish	Swedish	Root	Sw47	9	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	252
73	Italy.Root.Sw.Sw7.1.V5	137	Italian	Swedish	Swedish	Swedish	Root	Sw7	10	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	267
74	Italy.Root.Sw.Sw7.2.V5	123	Italian	Swedish	Swedish	Swedish	Root	Sw7	11	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	243
75	Italy.Root.Sw.Sw7.3.V5	120	Italian	Swedish	Swedish	Swedish	Root	Sw7	12	Climate	Swedish_Swedish	Italian_Swedish	Swedish_Root	Swedish_Root	Run1	yes	yes	no	no	267
25	Italy.Soil.It.It15.1.V5	253	Italian	Italian	Italian	Italian	Soil	It15	1	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	504
26	Italy.Soil.It.It15.2.V5	236	Italian	Italian	Italian	Italian	Soil	It15	2	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	460
27	Italy.Soil.It.It15.3.V5	230	Italian	Italian	Italian	Italian	Soil	It15	3	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	454
28	Italy.Soil.It.It24.1.V5	241	Italian	Italian	Italian	Italian	Soil	It24	4	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	490
29	Italy.Soil.It.It24.2.V5	237	Italian	Italian	Italian	Italian	Soil	It24	5	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	498
30	Italy.Soil.It.It24.3.V5	232	Italian	Italian	Italian	Italian	Soil	It24	6	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	464
31	Italy.Soil.It.It32.1.V5	237	Italian	Italian	Italian	Italian	Soil	It32	7	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	460
32	Italy.Soil.It.It32.2.V5	243	Italian	Italian	Italian	Italian	Soil	It32	8	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	485
33	Italy.Soil.It.It32.3.V5	228	Italian	Italian	Italian	Italian	Soil	It32	9	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	439
34	Italy.Soil.It.It41.1.V5	234	Italian	Italian	Italian	Italian	Soil	It41	10	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	459
35	Italy.Soil.It.It41.2.V5	219	Italian	Italian	Italian	Italian	Soil	It41	11	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	424
36	Italy.Soil.It.It41.3.V5	179	Italian	Italian	Italian	Italian	Soil	It41	12	Control	Italian_Italian	Italian_Italian	Italian_Soil	Italian_Soil	Run1	no	no	no	no	384
37	Italy.Soil.It.Sw11.1.V5	247	Italian	Italian	Swedish	Swedish	Soil	Sw11	1	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	482
38	Italy.Soil.It.Sw11.2.V5	227	Italian	Italian	Swedish	Swedish	Soil	Sw11	2	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	468
39	Italy.Soil.It.Sw11.3.V5	219	Italian	Italian	Swedish	Swedish	Soil	Sw11	3	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	421
40	Italy.Soil.It.Sw43.1.V5	249	Italian	Italian	Swedish	Swedish	Soil	Sw43	4	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	501
41	Italy.Soil.It.Sw43.2.V5	261	Italian	Italian	Swedish	Swedish	Soil	Sw43	5	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	482
42	Italy.Soil.It.Sw43.3.V5	251	Italian	Italian	Swedish	Swedish	Soil	Sw43	6	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	463
43	Italy.Soil.It.Sw47.1.V5	221	Italian	Italian	Swedish	Swedish	Soil	Sw47	7	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	427
44	Italy.Soil.It.Sw47.2.V5	240	Italian	Italian	Swedish	Swedish	Soil	Sw47	8	Genotype	Italian_Swedish	Italian_Italian	Swedish_Soil	Italian_Soil	Run1	yes	no	yes	no	458
